TaskID,TaskName,Type,Duration,Importance,DayOfWeek,StartTime,EndTime
1,Meeting with client,Work,60,Very Important,Monday,9:00,10:00
2,Go to the supermarket,Personal,30,Normal,Tuesday,16:00,16:30
3,Exercise,Personal,45,Less Important,Wednesday,6:30,7:15
4,Write report,Work,90,Important,Thursday,10:30,12:00
5,Read a book,Personal,60,Normal,Friday,20:00,21:00
6,Hang out with friends,Personal,120,Normal,Saturday,18:00,20:00
7,Teamwork,Work,120,Very Important,Sunday,14:00,16:00
8,Plan for the new week,Work,45,Important,Monday,8:00,8:45
9,Jogging,Personal,30,Less Important,Tuesday,7:30,8:00
10,Cooking,Personal,60,Normal,Wednesday,12:00,13:00
11,Learn programming,Education,90,Very Important,Thursday,19:00,20:30
12,Yoga practice,Personal,30,Normal,Friday,6:00,6:30
13,Check email,Work,15,Normal,Saturday,8:45,9:00
14,Learn English,Education,60,Important,Sunday,15:00,16:00
15,Watch a movie,Personal,120,Less Important,Monday,21:00,23:00
16,Work group meeting,Work,60,Very Important,Tuesday,11:00,12:00
17,Write a diary,Personal,30,Normal,Wednesday,22:30,23:00
18,Prepare lecture,Work,90,Important,Thursday,13:30,15:00
19,Clean the house,Personal,60,Normal,Friday,9:00,10:00
20,Listen to podcast,Personal,30,Normal,Saturday,20:30,21:00
21,Go to the supermarket,Personal,30,Normal,Sunday,16:15,16:45
22,Exercise,Personal,45,Less Important,Monday,6:45,7:30
23,Write report,Work,90,Important,Tuesday,10:45,12:15
24,Read a book,Personal,60,Normal,Wednesday,20:15,21:15
25,Hang out with friends,Personal,120,Normal,Thursday,18:15,20:15
26,Teamwork,Work,120,Very Important,Friday,14:15,16:15
27,Plan for the new week,Work,45,Important,Saturday,8:00,8:15
28,Jogging,Personal,30,Less Important,Sunday,7:45,8:15
29,Cooking,Personal,60,Normal,Monday,12:15,13:15
30,Learn programming,Education,90,Very Important,Tuesday,19:15,20:45
31,Yoga practice,Personal,30,Normal,Wednesday,6:15,6:45
32,Check email,Work,15,Normal,Thursday,8:00,9:15
33,Learn English,Education,60,Important,Friday,15:15,16:15
34,Watch a movie,Personal,120,Less Important,Saturday,21:15,23:15
35,Work group meeting,Work,60,Very Important,Sunday,11:15,12:15
36,Write a diary,Personal,30,Normal,Monday,22:45,23:15
37,Prepare lecture,Work,90,Important,Tuesday,13:45,15:15
38,Clean the house,Personal,60,Normal,Wednesday,9:15,10:15
39,Listen to podcast,Personal,30,Normal,Thursday,20:45,21:15
40,Meeting with client,Work,60,Very Important,Friday,9:15,10:15
41,Go to the supermarket,Personal,30,Normal,Saturday,16:15,16:45
42,Exercise,Personal,45,Less Important,Sunday,6:45,7:30
