TaskID,TaskName,Type,Importance,Duration,DayOfWeek,StartTime,EndTime,UserID
1542,Exercise,Personal,Less Important,45,Sunday,6:45,7:30,user1
02oKz4hI5fgvVaY7nZ7s,coding session,Education,Normal,15,Monday,13:00,13:15,AcggWN6cpMNmEhlgSKPVUc1Ylq32
1054,Drive to work,Work,Normal,30,Saturday,9:30,10:00,user1
812,Take a shower,Personal,Normal,20,Wednesday,13:30,13:50,user1
857,Pack bag,Personal,Normal,10,Friday,7:00,7:10,user1
666,Writing,Personal,Very Important,21,Wednesday,2:00,2:21,user1
2423,Grocery shopping,Personal,More Important,60,Wednesday,18:00,19:00,user1
1527,Plan for the new week,Work,Important,45,Saturday,8:00,8:15,user1
2023,Respond to work emails,Work,More Important,30,Sunday,8:45,9:15,user1
1388,Call a colleague for a quick check-in,Work,Normal,10,Wednesday,14:00,14:10,user1
2836,Drop off donation,Personal,More Important,60,Wednesday,10:15,11:15,user1
508,Do housework,Personal,Normal,45,Thursday,18:00,18:45,user1
1494,Have a meeting,Work,Very Important,60,Thursday,9:00,10:00,user1
1543,Write report,Work,Important,90,Monday,10:45,12:15,user1
2869,Attend webinar,Education,Important,60,Friday,12:30,13:30,user1
520,Make a phone call,Personal,Normal,20,Saturday,15:00,15:20,user1
27,Plan for the new week,Work,Important,45,Saturday,8:00,8:15,user1
430,Learn a new language,Education,Important,60,Monday,20:00,21:00,user1
1563,Yoga,Personal,Important,22,Sunday,13:00,13:22,user1
526,Garden,Personal,Normal,60,Friday,16:30,17:30,user1
592,Organize documents,Work,Normal,30,Friday,11:00,11:30,user1
1691,Organize the wardrobe,Personal,Normal,30,Wednesday,17:30,18:00,user1
362,Meeting,Personal,Important,61,Saturday,6:00,7:01,user1
1687,Listen to music,Personal,Normal,30,Wednesday,12:00,12:30,user1
2007,One-on-one with supervisor,Work,Important,60,Sunday,13:15,14:15,user1
1198,Take a coffee break,Personal,Normal,10,Monday,10:30,10:40,user1
1875,Write a blog post,Personal,Normal,45,Friday,17:15,18:00,user1
2431,Home workout,Personal,Normal,45,Saturday,8:30,9:15,user1
3232,Complete a coding challenge,Education,Important,30,Tuesday,15:00,15:30,user1
1293,Coding Session,Personal,Very Important,108,Tuesday,7:00,8:48,user1
1098,Make phone calls for work,Work,Normal,30,Thursday,9:00,9:30,user1
2592,Paint a picture,Personal,Normal,30,Friday,15:00,15:30,user1
0faxAxZwPhDQBtDXJwcA,gardening,Personal,Normal,45,Wednesday,07:30,08:15,AcggWN6cpMNmEhlgSKPVUc1Ylq32
677,Meeting,Personal,Important,67,Sunday,12:00,13:07,user1
382,Meeting,Work,Less Important,86,Friday,4:00,5:26,user1
2222,Respond to work emails,Work,More Important,30,Saturday,13:15,13:45,user1
842,Attend a party,Social,Less Important,180,Saturday,18:30,21:30,user1
